"";"lemma";"inflected_form"
"2";"...";".."
"3";"...";"...."
"4";"a-bomb";"a-bombs"
"5";"a-level";"a-levels"
"6";"aah";"aahs"
"7";"aardvark";"aardvarks"
"8";"aa";"aas"
"9";"abacus";"abaci"
"10";"abacus";"abacuses"
"11";"abalone";"abalones"
"12";"abandon";"abandoned"
"13";"abandon";"abandoning"
"14";"abandonment";"abandonments"
"15";"abandon";"abandons"
"16";"aba";"abas"
"17";"abase";"abased"
"18";"abasement";"abasements"
"19";"abase";"abases"
"20";"abash";"abashed"
"21";"abase";"abasing"
"22";"abate";"abated"
"23";"abatement";"abatements"
"24";"abate";"abates"
"25";"abate";"abating"
"26";"abattoir";"abattoirs"
"27";"abbacy";"abbacies"
"28";"abbess";"abbesses"
"29";"abbey";"abbeys"
"30";"abbot";"abbots"
"31";"abbreviate";"abbreviated"
"32";"abbreviate";"abbreviates"
"33";"abbreviate";"abbreviating"
"34";"abbreviation";"abbreviations"
"35";"abc";"abcs"
"36";"abdicate";"abdicated"
"37";"abdicate";"abdicates"
"38";"abdicate";"abdicating"
"39";"abdication";"abdications"
"40";"abdomen";"abdomens"
"41";"abduct";"abducted"
"42";"abduct";"abducting"
"43";"abduction";"abductions"
"44";"abductor";"abductors"
"45";"abduct";"abducts"
"46";"aberdare";"aberdares"
"47";"aberdeen";"aberdeens"
"48";"aberration";"aberrations"
"49";"abetment";"abetments"
"50";"abet";"abets"
"51";"abet";"abetted"
"52";"abetter";"abetters"
"53";"abet";"abetting"
"54";"abettor";"abettors"
"55";"abhor";"abhorred"
"56";"abhorrer";"abhorrers"
"57";"abhor";"abhorring"
"58";"abhor";"abhors"
"59";"abide";"abided"
"60";"abider";"abiders"
"61";"abide";"abides"
"62";"abide";"abiding"
"63";"abigail";"abigails"
"64";"ability";"abilities"
"65";"abingdon";"abingdons"
"66";"abjure";"abjured"
"67";"abjure";"abjures"
"68";"abjure";"abjuring"
"69";"ablate";"ablated"
"70";"ablate";"ablates"
"71";"ablate";"ablating"
"72";"ablation";"ablations"
"73";"able";"abler"
"74";"able";"ablest"
"75";"ablution";"ablutions"
"76";"abnormality";"abnormalities"
"77";"abnormal";"abnormals"
"78";"abide";"abode"
"79";"abode";"abodes"
"80";"abolish";"abolished"
"81";"abolish";"abolishes"
"82";"abolish";"abolishing"
"83";"abolishment";"abolishments"
"84";"abolitionist";"abolitionists"
"85";"abolition";"abolitions"
"86";"abomasum";"abomasums"
"87";"abominate";"abominated"
"88";"abomination";"abominations"
"89";"aborigine";"aborigines"
"90";"abort";"aborted"
"91";"abortifacient";"abortifacients"
"92";"abort";"aborting"
"93";"abortion-right";"abortion-rights"
"94";"abortionist";"abortionists"
"95";"abortion";"abortions"
"96";"abort";"aborts"
"97";"abo";"abos"
"98";"abound";"abounded"
"99";"abound";"abounding"
"100";"abound";"abounds"
"101";"about-face";"about-faced"
"102";"about-face";"about-faces"
"103";"about-turn";"about-turned"
"104";"about-turn";"about-turns"
"105";"abovementioned|abovementioned";"abovementioned"
"106";"abracadabra";"abracadabras"
"107";"abrade";"abraded"
"108";"abrade";"abrades"
"109";"abrade";"abrading"
"110";"abrasion";"abrasions"
"111";"abrasive";"abrasives"
"112";"abridge";"abridged"
"113";"abridgement";"abridgements"
"114";"abridge";"abridges"
"115";"abridge";"abridging"
"116";"abridgment";"abridgments"
"117";"abri";"abris"
"118";"abrogate";"abrogated"
"119";"abrogate";"abrogates"
"120";"abrogate";"abrogating"
"121";"abruption";"abruptions"
"122";"abscess";"abscessed"
"123";"abscess";"abscesses"
"124";"abscond";"absconded"
"125";"absconder";"absconders"
"126";"abscond";"absconding"
"127";"abscond";"absconds"
"128";"abseil";"abseiled"
"129";"abseil";"abseiling"
"130";"abseil";"abseils"
"131";"absence";"absences"
"132";"absent";"absented"
"133";"absentee";"absentees"
"134";"absent";"absenting"
"135";"absent";"absents"
"136";"absolute";"absolutes"
"137";"absolutism";"absolutisms"
"138";"absolve";"absolved"
"139";"absolve";"absolves"
"140";"absolve";"absolving"
"141";"absorb";"absorbed"
"142";"absorbent";"absorbents"
"143";"absorber";"absorbers"
"144";"absorb";"absorbing"
"145";"absorb";"absorbs"
"146";"absorption";"absorptions"
"147";"abstain";"abstained"
"148";"abstainer";"abstainers"
"149";"abstain";"abstaining"
"150";"abstain";"abstains"
"151";"abstention";"abstentions"
"152";"abstract";"abstracted"
"153";"abstract";"abstracting"
"154";"abstraction";"abstractions"
"155";"abstract";"abstracts"
"156";"absurd";"absurdest"
"157";"absurdity";"absurdities"
"158";"abundance";"abundances"
"159";"abuse";"abused"
"160";"abuser";"abusers"
"161";"abuse";"abuses"
"162";"abuse";"abusing"
"163";"abutilon";"abutilons"
"164";"abutment";"abutments"
"165";"abut";"abuts"
"166";"abut";"abutted"
"167";"abutter";"abutters"
"168";"abut";"abutting"
"169";"abyss";"abysses"
"170";"acacia";"acacias"
"171";"academe";"academes"
"172";"academia";"academias"
"173";"academician";"academicians"
"174";"academic";"academics"
"175";"academy";"academies"
"176";"acadian";"acadians"
"177";"acccount";"acccounting"
"178";"accede";"acceded"
"179";"accede";"accedes"
"180";"accede";"acceding"
"181";"accelerant";"accelerants"
"182";"accelerate";"accelerated"
"183";"accelerate";"accelerates"
"184";"accelerate";"accelerating"
"185";"acceleration";"accelerations"
"186";"accelerator";"accelerators"
"187";"accelerometer";"accelerometers"
"188";"accent";"accented"
"189";"accent";"accenting"
"190";"accent";"accents"
"191";"accentuate";"accentuated"
"192";"accentuate";"accentuates"
"193";"accentuate";"accentuating"
"194";"accentuation";"accentuations"
"195";"acceptance";"acceptances"
"196";"acceptation";"acceptations"
"197";"accept";"accepted"
"198";"accept";"accepting"
"199";"acceptor";"acceptors"
"200";"accept";"accepts"
"201";"accessary";"accessaries"
"202";"access";"accessed"
"203";"access";"accesses"
"204";"accessibility";"accessibilities"
"205";"access";"accessing"
"206";"accession";"accessioned"
"207";"accession";"accessioning"
"208";"accession";"accessions"
"209";"accessory";"accessories"
"210";"accidental";"accidentals"
"211";"accident";"accidents"
"212";"accipiter";"accipiters"
"213";"acclaim";"acclaimed"
"214";"acclaim";"acclaiming"
"215";"acclaim";"acclaims"
"216";"acclamation";"acclamations"
"217";"acclimate";"acclimated"
"218";"acclimate";"acclimates"
"219";"acclimate";"acclimating"
"220";"acclimatise";"acclimatised"
"221";"acclimatise";"acclimatises"
"222";"acclimatise";"acclimatising"
"223";"acclimatize";"acclimatized"
"224";"acclimatize";"acclimatizing"
"225";"acclivity";"acclivities"
"226";"accolade";"accolades"
"227";"accommodate";"accommodated"
"228";"accommodate";"accommodates"
"229";"accommodate";"accommodating"
"230";"accommodation";"accommodations"
"231";"accompany";"accompanied"
"232";"accompanier";"accompaniers"
"233";"accompany";"accompanies"
"234";"accompaniment";"accompaniments"
"235";"accompanist";"accompanists"
"236";"accompany";"accompanying"
"237";"accomplice";"accomplices"
"238";"accomplish";"accomplished"
"239";"accomplisher";"accomplishers"
"240";"accomplish";"accomplishes"
"241";"accomplish";"accomplishing"
"242";"accomplishment";"accomplishments"
"243";"accord";"accorded"
"244";"accord";"according"
"245";"accordionist";"accordionists"
"246";"accordion";"accordions"
"247";"accord";"accords"
"248";"accost";"accosted"
"249";"accost";"accosting"
"250";"accost";"accosts"
"251";"accountability";"accountabilities"
"252";"accountancy";"accountancies"
"253";"accountant";"accountants"
"254";"account";"accounted"
"255";"account";"accounting"
"256";"accounting";"accountings"
"257";"account";"accounts"
"258";"accouter";"accoutered"
"259";"accouterment";"accouterments"
"260";"accoutrement";"accoutrements"
"261";"accreditation";"accreditations"
"262";"accredit";"accredited"
"263";"accredit";"accrediting"
"264";"accredit";"accredits"
"265";"accrete";"accreted"
"266";"accrete";"accretes"
"267";"accrete";"accreting"
"268";"accretion";"accretions"
"269";"accrual";"accruals"
"270";"accrue";"accrued"
"271";"accrue";"accrues"
"272";"accrue";"accruing"
"273";"acculturate";"acculturated"
"274";"acculturate";"acculturating"
"275";"accumulate";"accumulated"
"276";"accumulate";"accumulates"
"277";"accumulate";"accumulating"
"278";"accumulation";"accumulations"
"279";"accumulator";"accumulators"
"280";"accuracy";"accuracies"
"281";"accusation";"accusations"
"282";"accuse";"accused"
"283";"accused";"accuseds"
